population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std
CD11b+/CD16-,pSTAT3,LPS,11.923133850097656,1063.7079403789833,CD11b+/CD16-,HLA-DR+/CD7-,La139Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,La139Di,Human,median,81.9200750834128
CD11b-/CD16-,pSTAT3,IFNb,10.602733612060547,1011.0679455321607,CD11b-/CD16-,HLA-DR+/CD7-,La139Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,La139Di,Human,median,64.33669685803058
CD16+/CD11b+,pSTAT5,IFNa2,11.353397369384766,61.83346978576381,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,21.955695028720257
CD4+T cells,pSTAT5,IL-2,45.016645669937134,251.86714784754955,CD4+T cells,T Cells,Sm149Di,Human,median,CD4+T cells,T Cells,Sm149Di,Human,median,22.641468605578446
pDCs,pSTAT6,IFNb,12.68698787689209,49.265531055670515,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,12.295593682992394
CD16+/CD11b+,pSTAT6,IL-4,99.22464370727539,850.9446995536222,CD16+/CD11b+,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Ho165Di,Human,median,40.491638108786795
Neutrophils,pErk1/2,GM-CSF,27.338343620300293,298.3269260218415,Neutrophils,Non-Basophils,Sm152Di,Human,median,Neutrophils,Non-Basophils,Sm152Di,Human,median,46.91383866244726
Neutrophils,pP38,TNFa,12.978775024414062,33.57742231445109,Neutrophils,Non-Basophils,Sm154Di,Human,median,Neutrophils,Non-Basophils,Sm154Di,Human,median,10.256087273965697
pDCs,pSTAT6,IL-4,71.3592004776001,478.24323315082046,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,31.188184182523067
CD11b-/CD16-,pErk1/2,GM-CSF,45.541221618652344,573.4452001828793,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,44.901091936512614
CD16+/CD11b+,pErk1/2,TNFa,13.134077072143555,181.22420191018148,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,46.206730220794014
pDCs,pSTAT5,IFNb,21.18880844116211,96.04731617237653,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,20.07019145563241
CD4+/CD8+,pSTAT3,IL-6,15.53671646118164,2156.4454963885087,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,95.90780660094454
CD11b-/CD16-,pSTAT6,IFNb,13.443952023983002,59.055430108206295,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,12.575736429348856
CD11b-/CD16-,pSTAT5,IFNa2,14.313480377197266,57.17498175136836,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,16.73156890534554
CD16+/CD11b+,pErk1/2,Anthrax,31.400379180908203,527.7113016566636,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,56.138794133218525
CD4+/CD8+,pSTAT4,IFNb,13.041320323944092,35.2216994641318,CD4+/CD8+,T Cells,Er170Di,Human,median,CD4+/CD8+,T Cells,Er170Di,Human,median,10.310860812199785
CD1c+ B cells,pSTAT1,IFNb,14.501529216766357,783.113168145762,CD1c+ B cells,B Cells,Sm147Di,Human,median,CD1c+ B cells,B Cells,Sm147Di,Human,median,42.74949456481881
CD11b+/CD16-,pErk1/2,Anthrax,30.392696380615234,409.26671566956554,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,50.358495645556886
CD11b+/CD16-,pErk1/2,PMAIono,16.325912475585938,232.19487240616763,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,44.80578800331407
CD16+/CD11b-,pErk1/2,PMAIono,33.651973724365234,378.91524860588567,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,42.6673955341346
CD16+/CD11b+,pSTAT3,IFNb,12.40660285949707,1726.1738810627228,CD16+/CD11b+,HLA-DR+/CD7-,La139Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,La139Di,Human,median,100.54076333400124
CD4+/CD8+,pErk1/2,PMAIono,15.419876098632812,333.977713966438,CD4+/CD8+,T Cells,Sm152Di,Human,median,CD4+/CD8+,T Cells,Sm152Di,Human,median,41.46337330168855
CD16+/CD11b+,pErk1/2,R848,32.2382698059082,303.41511168740305,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,53.765921916281215
