population,reagent,Condition,median,variance
CD16+/CD11b+,pSTAT1,IL-4,58.93947219848633,1518.6358197250763
CD11b+/CD16-,IkBa,Anthrax,6.833186388015747,12.134223380037115
CD8+T cells,pZap70/Syk,LPS,4.4065762758255005,1.5905591059228068
CD11b-/CD16-,pTBK1,IFNg,12.835649013519287,83.1190716785867
Basophils,pErk1/2,TNFa,29.62255573272705,447.4071965473379
Basophils,Ki67,IFNa2,17.06955099105835,79.72727819502977
pDCs,pMAPKAPK2,Ebola VLPs,10.005640745162964,20.99380326893246
CD7+/HLA-DR-,pSTAT5,Basal,10.141096115112305,52.80084844618204
CD7+/HLA-DR-,pTBK1,IL-2,7.850696802139282,38.572041865687595
CD11b-/CD16-,pMAPKAPK2,Anthrax,10.938291549682617,24.059024373880227
B Cells,IkBa,IL-12,5.207608699798584,8.405247848037375
CD16+/CD11b+,p4E-BP1,IFNb,29.85700559616089,108.51981559958553
Basophils,pZap70/Syk,IL-2,3.0501428842544556,2.7738272246529307
CD7+/HLA-DR-,pSTAT1,Ebola VLPs,5.861588835716248,14.754438686046496
CD4+T cells,pSTAT3,IL-12,45.31325054168701,2567.5501174090346
CD4+T cells,pSTAT4,Anthrax,7.30345356464386,18.014732447723162
Basophils,pErk1/2,R848,31.001173973083496,420.23045320991884
Neutrophils,pTBK1,IL-12,4.692025780677795,15.08985786940119
CD8+T cells,Ki67,IL-4,13.217975616455078,73.37462379885741
B Cells,Ki67,IL-4,16.55161714553833,84.45773613312093
Neutrophils,pTBK1,IL-4,4.556225657463074,13.052032271688933
CD11b+/CD16-,pS6,IL-12,74.67790031433105,1749.9548758888195
CD16+/CD11b+,pZap70/Syk,IL-6,7.2087156772613525,16.140402110106137
CD11b-/CD16-,pSTAT6,IFNa2,13.756906032562256,69.6337533085838
CD1c+ B cells,pSTAT4,IFNg,10.587397575378418,NaN
CD16+/CD11b+,pSTAT3,GM-CSF,121.32511901855469,10532.833842862541
CD7+/HLA-DR-,pP38,Ebola VLPs,11.078437328338623,41.71220478108297
CD4+/CD8+,pTBK1,IFNb,8.680869102478027,NaN
CD11b+/CD16-,pPLCg2,Basal,11.524651765823364,53.25190899840019
CD11b-/CD16-,pCREB,IFNg,37.05479621887207,366.7595125577018
CD7+/HLA-DR-,Ki67,CD40L,11.554433345794678,52.117345235851396
pDCs,pPLCg2,IFNb,9.688234806060791,29.968369438334726
B Cells,IkBa,TNFa,5.1158528327941895,8.258194886575476
CD8+T cells,pSTAT1,Basal,19.280978202819824,98.82044732245045
CD8+T cells,pSTAT3,R848,50.91421318054199,2523.6773330624073
Basophils,pSTAT3,R848,52.08005142211914,4330.652249090408
pDCs,pSTAT3,IL-2,72.39477348327637,3197.284584141351
B Cells,pMAPKAPK2,Ebola VLPs,6.4721901416778564,8.333577266607133
CD1c+ B cells,pS6,CD40L,62.998939514160156,NaN
CD4+T cells,Ki67,IFNg,16.816887855529785,102.73638529916491
B Cells,pSTAT1,Anthrax,6.0029367208480835,10.740800499219542
CD16+/CD11b+,IkBa,Basal,6.4232258796691895,11.100539806572076
pDCs,pSTAT4,Anthrax,9.915221691131592,36.059965179569
CD1c+ B cells,pSTAT3,IL-4,62.943138122558594,NaN
CD16+/CD11b+,pSTAT5,IL-2,21.435577392578125,321.39858356183265
CD4+T cells,pS6,GM-CSF,45.66028022766113,429.70348200552354
CD8+T cells,pErk1/2,IFNb,26.727734565734863,228.52979396772585
B Cells,pSTAT5,CD40L,13.352452754974365,71.09089105483343
CD1c+ B cells,pS6,PMAIono,70.17160224914551,NaN
CD16+/CD11b-,pP38,IL-12,19.36212682723999,152.1670039467155
CD1c+ B cells,IkBa,PMAIono,11.876969337463379,NaN
pDCs,p4E-BP1,IFNa2,39.90964412689209,197.91287374272665
pDCs,pErk1/2,CD40L,33.527523040771484,496.0759183852439
CD16+/CD11b+,pPLCg2,PMAIono,15.43449091911316,175.1943336841079
CD7+/HLA-DR-,pTBK1,LPS,7.570230722427368,34.78473655533371
CD7+/HLA-DR-,pErk1/2,IL-6,23.98509645462036,239.17162156113187
pDCs,pErk1/2,IL-2,32.569016456604004,454.225870057934
CD7+/HLA-DR-,pMAPKAPK2,Basal,5.427045702934265,8.209727312914053
Neutrophils,pSTAT5,TNFa,15.747806310653687,134.64692630643955
B Cells,Ki67,PMAIono,16.950257778167725,91.60977268573967
B Cells,Ki67,IL-2,17.385438442230225,96.75422066801997
CD8+T cells,IkBa,IL-4,5.152274489402771,8.631048319803241
Basophils,pP38,TNFa,11.242966175079346,42.83416301103442
pDCs,Ki67,IL-12,27.459769248962402,395.6069813264647
CD16+/CD11b+,pCREB,IFNg,50.60245704650879,840.2227621064978
CD11b+/CD16-,pCREB,IL-4,50.77185916900635,600.8994701014853
CD4+/CD8+,pPLCg2,IFNb,10.318800210952759,NaN
CD16+/CD11b+,pPLCg2,CD40L,16.66996431350708,174.86932315755618
CD1c+ B cells,pMAPKAPK2,IL-12,9.163081884384155,NaN
B Cells,pS6,IL-2,45.17012023925781,403.96087305949305
CD16+/CD11b+,pErk1/2,IFNa2,75.9692611694336,2229.6073445393267
CD11b+/CD16-,pS6,Anthrax,79.31969261169434,1809.0797522890505
CD4+/CD8+,Ki67,Anthrax,18.77579116821289,NaN
CD11b-/CD16-,pP38,GM-CSF,24.192760944366455,153.364031810474
Basophils,pMAPKAPK2,IL-2,7.815895080566406,13.76865794624194
B Cells,pSTAT5,IFNa2,19.67609739303589,88.27044022450967
CD4+/CD8+,pPLCg2,CD40L,10.103641986846924,162.2096280151353
Basophils,pSTAT6,IFNb,8.782105684280396,28.65643236285438
CD4+/CD8+,pS6,Basal,71.64810562133789,NaN
CD16+/CD11b-,p4E-BP1,PMAIono,18.376795768737793,54.10222140924962
Neutrophils,pP38,TNFa,25.957735061645508,102.03327351597588
Basophils,IkBa,IFNg,6.25703501701355,8.27419087349648
pDCs,pS6,IL-6,67.07311630249023,1283.679419978843
B Cells,p4E-BP1,IL-2,24.84208393096924,23.983415657752786
CD11b+/CD16-,pTBK1,IL-6,12.383041858673096,103.35439718168142
CD11b+/CD16-,pS6,GM-CSF,75.36134147644043,1611.8385797986234
B Cells,pTBK1,GM-CSF,11.080888271331787,60.14067650877562
CD4+/CD8+,pMAPKAPK2,IL-4,8.826579809188843,NaN
B Cells,pTBK1,CD40L,26.308205604553223,168.05962233614125
pDCs,IkBa,IL-12,9.609559535980225,26.630255440289666
CD11b-/CD16-,pTBK1,R848,29.94215202331543,679.3042202082954
B Cells,pSTAT5,TNFa,12.731968879699707,70.80300679974255
Basophils,pPLCg2,IFNb,6.90501344203949,11.969132328778374
CD8+T cells,pP38,CD40L,14.01088571548462,49.41582784328289
CD8+T cells,IkBa,IL-2,5.447936534881592,8.69638821615269
CD16+/CD11b+,pSTAT6,CD40L,7.7864686250686646,67.1532651969806
CD16+/CD11b-,pSTAT1,Basal,51.45047473907471,922.9044861797078
CD16+/CD11b-,pSTAT6,Basal,8.707707405090332,50.637603422661684
CD11b-/CD16-,pErk1/2,IL-12,40.816617012023926,1168.662517762805
CD4+T cells,p4E-BP1,IL-12,9.214478731155396,6.76803065820525
CD4+/CD8+,pCREB,PMAIono,39.72697734832764,NaN
CD1c+ B cells,pErk1/2,IL-2,42.10013008117676,NaN
CD11b+/CD16-,pP38,LPS,36.325639724731445,484.47748261042534
B Cells,pSTAT6,IL-2,7.468349814414978,24.05467181416637
CD1c+ B cells,pTBK1,Anthrax,18.675711631774902,NaN
CD16+/CD11b-,pSTAT6,IL-6,8.144325256347656,47.97079982054418
pDCs,IkBa,IFNg,10.40402364730835,28.561324441000703
CD11b+/CD16-,pS6,IFNa2,72.83752822875977,1539.2476453031372
CD4+T cells,pP38,IL-4,15.429672002792358,61.140913142892416
CD1c+ B cells,pSTAT4,Anthrax,10.22829794883728,NaN
CD4+T cells,pSTAT5,Ebola VLPs,12.465817213058472,58.13104195727304
B Cells,pPLCg2,IFNa2,6.429999828338623,11.304409626076898
CD4+/CD8+,pSTAT6,IL-12,6.443962454795837,NaN
CD11b-/CD16-,IkBa,Anthrax,9.487583637237549,21.515211907254624
CD16+/CD11b+,pSTAT1,IL-2,51.02195644378662,1139.605128869159
Basophils,pMAPKAPK2,Basal,7.683634519577026,11.185616755066382
CD4+T cells,pZap70/Syk,IFNg,4.695740103721619,1.7997586115568314
pDCs,pErk1/2,IL-12,33.11897420883179,431.3449709426727
Neutrophils,pSTAT6,TNFa,3.7876716256141663,13.760977021614634
CD1c+ B cells,pSTAT1,IL-6,11.789866209030151,NaN
CD8+T cells,pSTAT5,Anthrax,11.808876991271973,58.38602381562779
Neutrophils,IkBa,IL-4,2.385701358318329,1.0942079532681368
CD16+/CD11b+,pErk1/2,CD40L,79.2073802947998,2467.330144394564
CD4+/CD8+,pSTAT1,IFNg,39.390451431274414,NaN
CD1c+ B cells,pMAPKAPK2,TNFa,7.9962698221206665,NaN
CD11b-/CD16-,pSTAT1,TNFa,27.665295600891113,355.0815808396779
Basophils,Ki67,Anthrax,17.886154174804688,94.40128322939603
CD11b-/CD16-,pMAPKAPK2,PMAIono,11.899003028869629,29.387157400046352
Neutrophils,pPLCg2,IL-4,7.270753979682922,16.484297515167295
CD16+/CD11b-,Ki67,IL-12,19.029700756072998,221.55133830741784
CD11b+/CD16-,pSTAT6,R848,6.789793372154236,35.253972852587204
Basophils,pS6,Basal,47.35020923614502,562.0210894272277
CD1c+ B cells,pSTAT1,IL-2,13.949665307998657,NaN
CD1c+ B cells,pSTAT6,R848,10.01831579208374,NaN
CD7+/HLA-DR-,pSTAT1,IFNb,12.124653816223145,35.38479629339794
CD4+/CD8+,pSTAT6,R848,5.789177060127258,NaN
CD16+/CD11b+,pSTAT3,IL-12,125.0219497680664,10405.672186933814
CD7+/HLA-DR-,pErk1/2,IL-12,24.781981468200684,276.92379644344504
B Cells,pSTAT4,IFNg,8.684309959411621,18.27038426342066
CD4+/CD8+,p4E-BP1,LPS,9.494473934173584,NaN
CD16+/CD11b-,pSTAT4,GM-CSF,12.851715326309204,63.78748962707308
CD4+/CD8+,pZap70/Syk,R848,6.094642639160156,NaN
CD4+/CD8+,IkBa,IL-12,7.002644658088684,NaN
CD4+T cells,pPLCg2,LPS,5.505683898925781,10.145560655129836
CD8+T cells,pErk1/2,GM-CSF,26.63245964050293,211.98782819358902
CD16+/CD11b-,pPLCg2,IFNg,14.17896318435669,79.8199900849599
B Cells,pSTAT5,IFNb,26.70497703552246,113.30179462374052
CD11b+/CD16-,pP38,GM-CSF,22.942007541656494,138.62712308011314
CD4+/CD8+,pSTAT1,GM-CSF,42.56427192687988,NaN
CD4+/CD8+,pSTAT6,CD40L,6.01519238948822,31.52074255096366
CD7+/HLA-DR-,p4E-BP1,Anthrax,6.359965682029724,4.376742913304856
pDCs,p4E-BP1,IFNg,40.510008811950684,190.1036264386984
pDCs,pSTAT3,Basal,65.50894165039062,3588.2120044294766
CD7+/HLA-DR-,pSTAT6,PMAIono,5.012996673583984,15.268585124325464
CD1c+ B cells,pErk1/2,Anthrax,36.56692314147949,NaN
CD7+/HLA-DR-,pErk1/2,Anthrax,24.013524532318115,252.3222600861034
CD8+T cells,pErk1/2,PMAIono,34.20853042602539,427.6881881526476
Neutrophils,pS6,R848,49.52719593048096,657.2558628172205
B Cells,p4E-BP1,LPS,24.653088569641113,24.14031221327753
CD7+/HLA-DR-,pZap70/Syk,GM-CSF,3.8856332898139954,4.008163659158781
Basophils,pTBK1,PMAIono,11.40965747833252,88.09260185093865
CD16+/CD11b+,pMAPKAPK2,LPS,20.98097324371338,78.56544733188908
CD4+T cells,pSTAT6,PMAIono,4.959593057632446,16.61915308840847
CD1c+ B cells,pS6,IL-12,63.792555809020996,NaN
Basophils,pSTAT3,IL-12,59.49785804748535,5745.471431086232
Neutrophils,pZap70/Syk,PMAIono,8.220341920852661,6.300066111405819
CD11b+/CD16-,pSTAT5,IL-4,23.160701751708984,247.33967263821143
CD7+/HLA-DR-,pTBK1,IL-12,7.546628475189209,37.3264193058655
CD7+/HLA-DR-,pZap70/Syk,IFNg,4.025355815887451,3.992375592174201
CD7+/HLA-DR-,pMAPKAPK2,R848,5.275380730628967,8.505060460086565
CD4+/CD8+,pPLCg2,IFNg,9.48875904083252,NaN
CD8+T cells,pP38,Anthrax,14.472872495651245,52.39145914313471
Neutrophils,pPLCg2,IFNb,7.02036452293396,16.846051682370987
CD11b+/CD16-,pSTAT1,CD40L,52.09925079345703,1096.603281508101
CD11b-/CD16-,pMAPKAPK2,TNFa,15.584763288497925,39.25007440468814
CD7+/HLA-DR-,pZap70/Syk,Anthrax,4.2402122020721436,4.344387894678347
CD4+T cells,p4E-BP1,IFNa2,8.95535397529602,6.123902055102875
B Cells,pMAPKAPK2,IFNg,6.661547780036926,8.71132016671081
Neutrophils,pSTAT5,IFNa2,18.701727867126465,133.18379467266593
CD16+/CD11b+,pSTAT5,TNFa,22.20073413848877,392.4281500751071
CD4+/CD8+,pCREB,Basal,29.544281482696533,NaN
CD7+/HLA-DR-,pPLCg2,IFNa2,6.231339335441589,15.701263470945495
CD11b+/CD16-,pS6,TNFa,78.53827285766602,1728.3667977544292
CD11b+/CD16-,p4E-BP1,IFNb,31.781497955322266,134.31732549497175
CD16+/CD11b-,pPLCg2,IL-2,14.634222745895386,76.99206848759434
CD1c+ B cells,pErk1/2,IFNg,32.558112144470215,NaN
CD1c+ B cells,Ki67,R848,23.005622386932373,NaN
Neutrophils,pZap70/Syk,GM-CSF,8.101349115371704,5.872249135801372
CD8+T cells,p4E-BP1,LPS,6.916187047958374,3.833275240140812
CD4+/CD8+,pSTAT1,IL-4,42.775654792785645,NaN
CD8+T cells,pS6,CD40L,44.89023780822754,446.670193739685
B Cells,IkBa,GM-CSF,5.158443927764893,9.176272129693512
CD11b-/CD16-,IkBa,CD40L,9.649771213531494,27.669157716048062
CD7+/HLA-DR-,Ki67,IFNa2,11.448405742645264,45.36441295679555
CD7+/HLA-DR-,pSTAT6,CD40L,5.117289066314697,14.827914887663828
CD4+/CD8+,pZap70/Syk,Ebola VLPs,5.984393358230591,NaN
CD7+/HLA-DR-,pCREB,IFNa2,21.588034629821777,122.91272793017758
CD4+T cells,pPLCg2,IL-4,5.49856972694397,9.939279537997036
CD16+/CD11b+,IkBa,IL-2,6.584216237068176,13.887060892119683
pDCs,pErk1/2,Ebola VLPs,33.70521545410156,400.8785606159583
CD11b-/CD16-,pS6,Ebola VLPs,69.1067943572998,1235.1338408103643
B Cells,pSTAT6,Anthrax,7.631200909614563,25.93513218633658
CD16+/CD11b-,Ki67,IL-6,19.324987411499023,187.14760416740282
CD11b-/CD16-,IkBa,GM-CSF,9.701587200164795,26.12938016273515
CD8+T cells,pSTAT1,LPS,20.9554386138916,119.78368414840573
CD4+/CD8+,IkBa,IL-6,6.347602844238281,NaN
CD16+/CD11b-,pMAPKAPK2,GM-CSF,16.850407600402832,35.43922671047664
CD11b+/CD16-,pMAPKAPK2,IFNa2,13.338364601135254,29.79657477875168
CD16+/CD11b-,pSTAT1,IL-2,48.22371864318848,797.9072494515466
B Cells,pZap70/Syk,IFNg,3.948846936225891,3.6220157112861924
CD16+/CD11b-,Ki67,Basal,19.497459411621094,228.63550204592931
Basophils,pPLCg2,IL-2,6.969013452529907,13.731711502103401
Neutrophils,pS6,PMAIono,51.93035888671875,725.061090333025
CD8+T cells,pSTAT5,IL-2,72.21829223632812,457.236412510137
CD11b-/CD16-,pS6,GM-CSF,76.71969604492188,1340.4629127885332
CD4+/CD8+,pP38,R848,20.464213848114014,NaN
Neutrophils,pP38,IL-12,11.642691612243652,42.25805616737261
CD4+/CD8+,pCREB,Ebola VLPs,29.704195022583008,NaN
CD1c+ B cells,pSTAT6,GM-CSF,9.615835189819336,NaN
CD7+/HLA-DR-,pSTAT4,IFNb,24.52790594100952,104.13459889590197
CD16+/CD11b+,pSTAT3,R848,130.86148071289062,10554.08414769768
CD11b-/CD16-,pZap70/Syk,IFNg,5.220573425292969,6.234662093346919
CD4+T cells,pP38,Basal,14.12143611907959,53.43835077037542
CD4+/CD8+,pZap70/Syk,TNFa,5.98441755771637,NaN
CD4+/CD8+,pSTAT6,IFNb,8.50925350189209,NaN
B Cells,pErk1/2,IFNa2,26.62458896636963,180.5515632302491
CD16+/CD11b-,pSTAT1,IL-6,56.650686264038086,1189.0670611710282
CD4+T cells,pSTAT1,IFNg,21.47584629058838,125.8098966347398
CD1c+ B cells,Ki67,IFNa2,22.85957145690918,NaN
B Cells,pSTAT6,R848,7.3492192029953,22.733160821841928
CD8+T cells,pS6,Ebola VLPs,44.23660659790039,427.274446551901
CD4+T cells,pErk1/2,GM-CSF,28.22098970413208,225.0472658994858
CD11b+/CD16-,pS6,PMAIono,70.85323524475098,1699.9492320356894
Neutrophils,pSTAT3,IL-6,58.80945110321045,4264.795861840222
CD1c+ B cells,pSTAT1,PMAIono,15.406643629074097,NaN
CD11b+/CD16-,pP38,IL-4,21.040940284729004,158.0715251684121
B Cells,pSTAT4,Basal,8.604928970336914,18.315315420878196
pDCs,pP38,R848,44.85550117492676,988.9494559673606
CD8+T cells,pSTAT4,LPS,5.8954033851623535,11.566628137760656
Basophils,pCREB,LPS,33.80485725402832,232.80994754665522
CD7+/HLA-DR-,pMAPKAPK2,TNFa,7.064020872116089,11.393355859420618
CD8+T cells,pS6,IFNb,45.730926513671875,484.4247949001725
CD16+/CD11b+,pErk1/2,IFNb,79.80553817749023,2065.1351682203795
CD7+/HLA-DR-,p4E-BP1,PMAIono,6.660740971565247,5.178948645827112
Basophils,pCREB,IFNg,33.74040412902832,292.1981215650187
CD11b-/CD16-,pS6,Basal,72.06339836120605,1229.5296219817394
CD11b+/CD16-,pPLCg2,IFNa2,12.256738662719727,59.112343890805214
B Cells,pTBK1,IL-2,10.722981929779053,64.9477077685515
CD4+/CD8+,pSTAT1,LPS,42.95981788635254,NaN
Neutrophils,p4E-BP1,CD40L,6.6427799463272095,6.4112784764780475
CD1c+ B cells,pSTAT6,CD40L,9.31520700454712,NaN
CD7+/HLA-DR-,pZap70/Syk,Basal,3.959337592124939,3.8392616643476787
B Cells,pErk1/2,IL-6,26.94616460800171,178.98227719815102
B Cells,IkBa,Basal,5.159081220626831,8.469629520277747
B Cells,pSTAT1,R848,5.722025513648987,9.725464991236855
CD16+/CD11b-,pTBK1,IFNb,13.916950941085815,106.99861168947652
CD8+T cells,Ki67,IFNa2,13.091842412948608,73.62564236844258
CD11b+/CD16-,pSTAT1,Basal,50.10850143432617,896.0606917766825
CD4+T cells,pErk1/2,TNFa,27.959371089935303,225.53751745655978
Basophils,pMAPKAPK2,IFNb,7.793335914611816,12.174980424014434
CD11b+/CD16-,pS6,IL-2,76.16375732421875,1717.5204860682697
Neutrophils,pSTAT3,Anthrax,62.29315185546875,4417.882201213159
Basophils,p4E-BP1,IL-4,11.578275680541992,12.068898801415338
Basophils,pPLCg2,GM-CSF,7.563782095909119,11.674360167324762
CD11b+/CD16-,pSTAT5,GM-CSF,107.3527660369873,1051.594018986555
Neutrophils,p4E-BP1,LPS,6.652768969535828,6.462397764117125
CD11b-/CD16-,pCREB,R848,49.72616386413574,587.714337816753
pDCs,pSTAT3,PMAIono,73.78122329711914,3492.598207810095
B Cells,p4E-BP1,IL-6,25.17935562133789,24.414538513960185
CD4+/CD8+,pCREB,IFNa2,29.40430212020874,NaN
CD16+/CD11b+,pS6,Basal,84.51420974731445,2599.7815256612716
pDCs,pTBK1,LPS,10.540663957595825,105.65678956948724
Basophils,pSTAT6,GM-CSF,7.410943388938904,24.612455313302267
CD1c+ B cells,pTBK1,IL-6,17.446693420410156,NaN
Neutrophils,pTBK1,GM-CSF,4.48976993560791,16.682575050498325
CD7+/HLA-DR-,pSTAT1,GM-CSF,5.88845682144165,13.90065072445169
CD16+/CD11b+,p4E-BP1,IFNg,33.415164947509766,122.5718005459673
pDCs,Ki67,Basal,26.074048042297363,420.61004318202714
CD16+/CD11b-,pSTAT5,IL-4,20.738418102264404,221.43426316990255
B Cells,pPLCg2,IL-2,7.016023278236389,14.72806555791989
CD16+/CD11b+,pSTAT4,TNFa,17.862152099609375,134.90150713035192
CD11b+/CD16-,p4E-BP1,IL-6,31.245469093322754,138.60218985621702
Neutrophils,pSTAT6,IL-4,18.11404848098755,74.52896788901302
CD11b+/CD16-,Ki67,Basal,29.83389186859131,316.3903442720847
CD11b+/CD16-,p4E-BP1,IFNg,37.27059364318848,170.7935416441657
CD16+/CD11b+,pTBK1,IL-2,15.191625118255615,284.868653757719
pDCs,p4E-BP1,Basal,40.78071403503418,196.7711578968908
CD11b+/CD16-,pErk1/2,IL-2,69.07023620605469,1624.0589525509674
CD8+T cells,p4E-BP1,IL-6,6.953929424285889,3.7928195205555397
CD8+T cells,pS6,IL-12,45.84906578063965,498.2596972873296
CD16+/CD11b+,pTBK1,Basal,14.764486312866211,201.5267520436499
CD1c+ B cells,pPLCg2,Basal,8.251080751419067,NaN
CD11b-/CD16-,pSTAT6,R848,7.796551704406738,36.88804267434726
CD4+/CD8+,pP38,IFNb,20.54390573501587,NaN
B Cells,pSTAT5,GM-CSF,13.24596619606018,66.84423991687574
CD11b+/CD16-,pSTAT3,GM-CSF,84.94040489196777,5291.448294257423
B Cells,Ki67,Ebola VLPs,16.973435401916504,86.3899435817761
Basophils,pSTAT3,GM-CSF,57.379151344299316,4732.290044962157
CD8+T cells,pSTAT1,Anthrax,19.537240982055664,102.75783008892185
CD16+/CD11b-,pS6,IFNb,70.41869163513184,1328.0143796316092
pDCs,pSTAT5,IFNa2,37.2586669921875,347.1100286042146
B Cells,pSTAT4,IL-12,8.934659481048584,21.21281914038647
CD8+T cells,pMAPKAPK2,IL-6,5.553317070007324,7.532469633240354
CD7+/HLA-DR-,IkBa,R848,5.213853120803833,6.814398850695217
CD1c+ B cells,pPLCg2,Ebola VLPs,9.658518314361572,NaN
B Cells,pSTAT4,IFNa2,8.694212913513184,18.602499896335704
CD16+/CD11b-,IkBa,CD40L,4.6098878383636475,4.068831684221508
CD1c+ B cells,pTBK1,IFNb,17.05799961090088,NaN
CD16+/CD11b-,pSTAT5,R848,20.1924467086792,201.70420350313327
Basophils,pSTAT4,IFNa2,9.619832754135132,28.922928288548583
CD16+/CD11b-,pP38,CD40L,20.08615016937256,147.43290797273988
CD8+T cells,Ki67,R848,13.933206558227539,77.49170173756956
CD1c+ B cells,pErk1/2,LPS,36.89538383483887,NaN
pDCs,pSTAT4,Ebola VLPs,9.944326162338257,48.61352255598211
CD4+/CD8+,p4E-BP1,IL-4,9.33209753036499,NaN
Basophils,pSTAT1,CD40L,28.100825786590576,263.4979721474598
Neutrophils,pP38,Basal,12.565175771713257,39.73527028643625
CD11b+/CD16-,pSTAT6,IL-12,7.529203414916992,52.540471977963364
CD16+/CD11b-,pSTAT1,IL-12,52.814321517944336,1190.2407974953985
CD8+T cells,IkBa,Basal,5.4599573612213135,8.383664472254013
pDCs,pMAPKAPK2,CD40L,9.70781421661377,23.523406664289826
CD11b-/CD16-,pP38,IL-6,19.80592966079712,133.7587906146289
CD11b-/CD16-,Ki67,LPS,32.53650951385498,438.07444566643704
CD16+/CD11b-,pSTAT3,IL-6,69.61176681518555,4127.197248893356
CD4+T cells,pSTAT4,IL-12,7.533153176307678,20.709996855854843
CD11b+/CD16-,pSTAT4,TNFa,16.47403049468994,94.0772387562589
CD1c+ B cells,pSTAT4,TNFa,9.735728025436401,NaN
B Cells,pCREB,R848,21.67343521118164,103.51812978477409
CD4+/CD8+,pS6,TNFa,74.57710266113281,NaN
B Cells,IkBa,IL-6,5.073933839797974,9.427000943570604
CD16+/CD11b-,pSTAT3,IFNg,67.41399765014648,4175.963905378663
Neutrophils,pSTAT6,IL-6,3.7511168718338013,11.721179632534875
CD11b-/CD16-,Ki67,IL-4,35.37394714355469,435.87852763047397
CD7+/HLA-DR-,pSTAT4,IFNg,5.909871459007263,10.575256245815446
CD11b-/CD16-,pP38,IL-2,19.857927799224854,138.0824756283679
CD4+T cells,pZap70/Syk,LPS,4.691863059997559,1.9244856257811815
CD16+/CD11b-,pZap70/Syk,Anthrax,6.860413312911987,9.808369926068726
CD16+/CD11b+,pZap70/Syk,PMAIono,6.548639535903931,15.514037844486195
CD11b+/CD16-,pTBK1,IL-2,12.731849431991577,112.67229352159369
CD8+T cells,pErk1/2,IFNa2,26.61358404159546,216.69418332350028
CD4+T cells,pSTAT1,IFNa2,40.386423110961914,333.40892498869545
B Cells,pMAPKAPK2,Anthrax,6.710372805595398,9.716396768453183
CD16+/CD11b+,pSTAT4,PMAIono,16.999399662017822,133.4140519321462
CD11b+/CD16-,pCREB,LPS,56.10883712768555,736.2009334895264
CD16+/CD11b+,pSTAT5,Basal,22.015302658081055,379.9502702407669
CD16+/CD11b-,pSTAT5,IL-6,19.54068660736084,228.6275195715084
Basophils,pCREB,Ebola VLPs,32.58362579345703,259.5343131833992
CD8+T cells,pSTAT4,IL-12,6.373102903366089,13.537468785371724
CD4+T cells,pZap70/Syk,PMAIono,4.700364828109741,1.9340847591027355
CD4+/CD8+,Ki67,IFNa2,17.460107803344727,NaN
pDCs,pS6,CD40L,66.03907012939453,1253.574066292375
B Cells,pPLCg2,Basal,6.405239582061768,11.069347873004894
CD11b+/CD16-,pTBK1,Anthrax,16.64690113067627,175.39492783034817
CD16+/CD11b+,pSTAT3,IL-2,127.27946853637695,8653.767011252257
CD11b-/CD16-,pZap70/Syk,IL-2,4.993900656700134,6.559333292038329
CD4+/CD8+,pTBK1,LPS,8.903222560882568,NaN
CD4+/CD8+,Ki67,Basal,18.376776695251465,NaN
B Cells,pCREB,PMAIono,37.0449104309082,488.90883728542025
Basophils,pPLCg2,IL-6,6.938031196594238,11.077885310728158
pDCs,pSTAT5,CD40L,18.11912250518799,178.44180011617553
B Cells,pP38,Basal,17.578857421875,80.27037233280939
pDCs,pSTAT6,IL-6,8.582728624343872,53.388975566243914
CD7+/HLA-DR-,pErk1/2,CD40L,23.628299236297607,264.3170588965621
CD4+/CD8+,IkBa,PMAIono,6.141568303108215,NaN
Neutrophils,pCREB,IL-4,23.554563999176025,123.75143617745033
CD11b+/CD16-,pSTAT3,IL-6,103.11012077331543,5227.91581804895
CD8+T cells,pCREB,LPS,20.540868759155273,90.17466074206394
CD8+T cells,pP38,Basal,14.556809425354004,48.97533022979987
CD16+/CD11b-,pP38,Basal,20.035874843597412,160.8001559406826
Basophils,pSTAT1,Anthrax,26.437747955322266,239.95781099371618
B Cells,pCREB,IFNg,19.456418991088867,83.7215935889322
CD1c+ B cells,pSTAT4,IL-2,12.25980281829834,NaN
pDCs,pSTAT6,Basal,8.238872051239014,49.41611174087456
pDCs,pErk1/2,IFNb,34.36529541015625,543.1116411504015
pDCs,pSTAT5,Anthrax,17.059508800506592,147.2817126147699
CD4+/CD8+,pErk1/2,GM-CSF,45.47292423248291,NaN
B Cells,pSTAT6,IL-12,7.399006962776184,24.69346172879825
CD11b-/CD16-,p4E-BP1,IL-4,43.347670555114746,211.99778042076193
Neutrophils,pSTAT5,LPS,14.998778581619263,123.37779878275936
pDCs,pPLCg2,GM-CSF,11.373090267181396,NaN
CD7+/HLA-DR-,pSTAT1,CD40L,6.279686331748962,17.525324079555308
